,BRAND,DOLS,CATEGORY
326,antonini,40980.0,JEWELRY
327,armenta,18447.0,JEWELRY
328,arpas,26419.0,JEWELRY
329,artcarved,64023.0,JEWELRY
330,artemest,24949.0,JEWELRY
331,artistry,82368.0,JEWELRY
332,asher,28394.0,JEWELRY
333,ashk,,JEWELRY
334,asprey,155250.0,JEWELRY
335,assael,427235.0,JEWELRY
336,astoria,,JEWELRY
337,attos,450.0,JEWELRY
338,australian,2539.0,JEWELRY
339,baccarat,15876.0,JEWELRY
340,baggins,5641.0,JEWELRY
341,balenciaga,813648.0,JEWELRY
342,bamboo,16383.0,JEWELRY
343,barsky,33997.0,JEWELRY
344,bayco,54050.0,JEWELRY
345,becoming,721.0,JEWELRY
346,belfiore,9309.0,JEWELRY
347,bellarri,11940.0,JEWELRY
348,benchmark,45915.0,JEWELRY
349,bijan,242416.0,JEWELRY
350,bioring,2917.0,JEWELRY
351,blvckout,915.0,JEWELRY
352,boma,14951.0,JEWELRY
353,brayce,267.0,JEWELRY
354,breguet,162160.0,JEWELRY
355,brighton,5830.0,JEWELRY
356,brosway,5000.0,JEWELRY
357,buccellati,18780.0,JEWELRY
358,bulgari,1870278.0,JEWELRY
359,cadar,890720.0,JEWELRY
360,canadamark,11902.0,JEWELRY
361,carelle,199.0,JEWELRY
362,carlex,413.0,JEWELRY
363,carolee,186.0,JEWELRY
364,cartier,12083449.0,JEWELRY
365,catbird,54396.0,JEWELRY
366,celtic,,JEWELRY
367,chamilia,791303.0,JEWELRY
368,chanel,571852.0,JEWELRY
369,charriol,,JEWELRY
370,chopard,7102659.0,JEWELRY
371,christofle,6821.0,JEWELRY
372,chrysalis,9401.0,JEWELRY
373,circa,4062514.0,JEWELRY
374,coach,,JEWELRY
375,colibri,,JEWELRY
376,continental,17863.0,JEWELRY
377,coomi,694060.0,JEWELRY
378,corso,,JEWELRY
379,cosa,,JEWELRY
380,crivelli,900920.0,JEWELRY
381,crownring,48512.0,JEWELRY
382,cruciani,,JEWELRY
383,dabakarov,131340.0,JEWELRY
384,dacarli,,JEWELRY
385,damiani,14611.0,JEWELRY
386,danhov,5853.0,JEWELRY
387,dannijo,220.0,JEWELRY
388,dazzlers,9401.0,JEWELRY
389,devocean,1575.0,JEWELRY
390,diamond,14861.0,JEWELRY
391,dior,604312.0,JEWELRY
392,djula,977516.0,JEWELRY
393,dnea,3240.0,JEWELRY
394,dorfman,322386.0,JEWELRY
395,dtc,21538.0,JEWELRY
396,dualitas,,JEWELRY
397,dutchcollar,128844.0,JEWELRY
398,dway,1356.0,JEWELRY
399,earstuds,95895.0,JEWELRY
400,effy,206114.0,JEWELRY
401,eliko,5641.0,JEWELRY
402,elle,1022563.0,JEWELRY
403,endless,408323.0,JEWELRY
404,enso,117496.0,JEWELRY
405,esquire,711740.0,JEWELRY
406,ettika,,JEWELRY
407,everband,964.0,JEWELRY
408,evocateur,15232.0,JEWELRY
409,faberge,1586858.0,JEWELRY
410,feri,,JEWELRY
411,forevermark,16438443.0,JEWELRY
412,forziani,1307.0,JEWELRY
413,fossil,238289.0,JEWELRY
414,gamiss,489.0,JEWELRY
415,gemfields,1082383.0,JEWELRY
416,gemiana,3160.0,JEWELRY
417,gemio,1224.0,JEWELRY
418,gemvision,1597.0,JEWELRY
419,genesis,172076.0,JEWELRY
420,gia,141310.0,JEWELRY
421,gielo,220.0,JEWELRY
422,givenchy,774910.0,JEWELRY
423,global,22511.0,JEWELRY
424,gm,3728.0,JEWELRY
425,goldman,26419.0,JEWELRY
426,goldstein,130572.0,JEWELRY
427,gothrider,,JEWELRY
428,graff,2881781.0,JEWELRY
429,gucci,929157.0,JEWELRY
430,gurhan,283658.0,JEWELRY
431,happylaulea,2564.0,JEWELRY
432,henne,10614.0,JEWELRY
433,herco,69101.0,JEWELRY
434,hermes,4150101.0,JEWELRY
435,hidalgo,834.0,JEWELRY
436,hinsongayle,,JEWELRY
437,hiraco,,JEWELRY
438,honora,208401.0,JEWELRY
439,hublot,135016.0,JEWELRY
440,imperial,21341.0,JEWELRY
441,induo,19.0,JEWELRY
442,inox,11001.0,JEWELRY
443,ippolita,5496.0,JEWELRY
444,ironman,,JEWELRY
445,isharya,,JEWELRY
446,jennybird,,JEWELRY
447,jeulia,26688.0,JEWELRY
448,jewelex,45221.0,JEWELRY
449,jewelmer,250038.0,JEWELRY
450,joden,11015.0,JEWELRY
451,jostens,187033.0,JEWELRY
452,kameleon,16923.0,JEWELRY
453,kgk,37604.0,JEWELRY
454,khailo,272.0,JEWELRY
455,khom,,JEWELRY
456,kiran,1341.0,JEWELRY
457,kkgi,4231.0,JEWELRY
458,knot,37604.0,JEWELRY
459,kobelli,,JEWELRY
460,kozi,4561.0,JEWELRY
461,krikawa,,JEWELRY
462,kristall,,JEWELRY
463,kwiat,1277451.0,JEWELRY
464,lagos,446368.0,JEWELRY
465,lalique,3500.0,JEWELRY
466,lana,12000.0,JEWELRY
467,lashbrook,84333.0,JEWELRY
468,lavaggi,3436.0,JEWELRY
469,leslie,21896.0,JEWELRY
470,liberty,2539.0,JEWELRY
471,lift,,JEWELRY
472,lili,32781.0,JEWELRY
473,livingstone,23880.0,JEWELRY
474,lokai,32099.0,JEWELRY
475,lotus,45174.0,JEWELRY
476,lunkae,,JEWELRY
477,luvente,107268.0,JEWELRY
478,madani,1344.0,JEWELRY
479,majorica,300.0,JEWELRY
480,mantraband,12018.0,JEWELRY
481,marika,45221.0,JEWELRY
482,marli,121620.0,JEWELRY
483,mastoloni,298377.0,JEWELRY
484,mattioli,590730.0,JEWELRY
485,messika,1316344.0,JEWELRY
