,BRAND,CATEGORY,DOLS
497,motif,JEWELRY,28001.0
498,movado,JEWELRY,376794.0
499,murat,JEWELRY,18802.0
500,muzo,JEWELRY,
501,naledi,JEWELRY,693.0
502,nambe,JEWELRY,570.0
503,nelson,JEWELRY,116386.0
504,nest,JEWELRY,471465.0
505,nialaya,JEWELRY,
506,ninacci,JEWELRY,18802.0
507,nomination,JEWELRY,130.0
508,nuvoboho,JEWELRY,18.0
509,omega,JEWELRY,97687.0
510,onecklace,JEWELRY,
511,oressence,JEWELRY,18802.0
512,ovadia,JEWELRY,2539.0
513,pampillonia,JEWELRY,133.0
514,pandora,JEWELRY,61035054.0
515,paragon,JEWELRY,2539.0
516,persona,JEWELRY,1433542.0
517,piaget,JEWELRY,708593.0
518,picchiotti,JEWELRY,529995.0
519,platini,JEWELRY,9401.0
520,platinum,JEWELRY,32497.0
521,pomellato,JEWELRY,
522,preciosa,JEWELRY,2.0
523,pyrrha,JEWELRY,3917.0
524,qalo,JEWELRY,90327.0
525,quid,JEWELRY,
526,rahaminov,JEWELRY,162773.0
527,rajola,JEWELRY,28203.0
528,rdi,JEWELRY,21341.0
529,rebecca,JEWELRY,7700.0
530,relica,JEWELRY,1704.0
531,repossi,JEWELRY,2350733.0
532,ritani,JEWELRY,7694565.0
533,rmc,JEWELRY,5360.0
534,romance,JEWELRY,809.0
535,rommanel,JEWELRY,14736.0
536,rosemarie,JEWELRY,1154.0
537,roxy,JEWELRY,287.0
538,schaffrath,JEWELRY,18802.0
539,sequel,JEWELRY,128.0
540,serinium,JEWELRY,
541,shinola,JEWELRY,3446.0
542,sibilia,JEWELRY,6390.0
543,signity,JEWELRY,2250.0
544,sindbad,JEWELRY,9401.0
545,skagen,JEWELRY,5285.0
546,skydin,JEWELRY,72.0
547,snbt,JEWELRY,206.0
548,soko,JEWELRY,167692.0
549,soleil,JEWELRY,9401.0
550,sollbergers,JEWELRY,155.0
551,solo,JEWELRY,13356.0
552,somers,JEWELRY,80000.0
553,somor,JEWELRY,9401.0
554,sorrelli,JEWELRY,2244.0
555,spark,JEWELRY,790490.0
556,spb,JEWELRY,94010.0
557,speechlust,JEWELRY,695.0
558,stauer,JEWELRY,387214.0
