,BRAND,DOLS,CATEGORY,A ending?,"Plosive ending? (p,b,t,d,k,g)","Sonorant ending? (m,n,ng,l,r)","Fricative ending? (f,v,th,s,z,sh,ch,dge)","1st letter fricative? (f,v,th,s,z,sh,ch,j)","Total # of sonorants (m,n,l,r,w,y)","Total # of vowels (a, e, i, o, u)","1st letter plosive? (p,b,t,d,k,g)","Total # of plosives  (p,b,t,d,k,g)","VowelEnding? (a, e, i, o, u,y)",# of letters,"# of fricatives (f,v,th,s,z,sh,ch,j)","1st letter vowel? (a, e, i, o, u)","1st letter sonorant? (m,n,l,r,w,y)",Front Vowels,Back Vowels
129,caroia,16138.0,COSMETICS,1,0,0,0,0,1,4,0,0,1,6,0,0,0,1,1
130,catrice,,COSMETICS,0,0,0,0,0,1,3,0,1,1,7,0,0,0,2,0
131,chanel,161219.0,COSMETICS,0,0,1,0,1,2,2,0,0,0,6,1,0,0,1,0
132,cilsfrance,6752.0,COSMETICS,0,0,0,0,0,3,3,0,0,1,10,2,0,0,2,0
133,clarins,1114205.0,COSMETICS,0,0,0,1,0,3,2,0,0,0,7,1,0,0,1,0
134,clinique,1357352.0,COSMETICS,0,0,0,0,0,2,4,0,0,1,8,0,0,0,3,1
135,clio,,COSMETICS,0,0,0,0,0,1,2,0,0,1,4,0,0,0,1,1
136,colorescience,1216.0,COSMETICS,0,0,0,0,0,3,6,0,0,1,13,1,0,0,3,2
137,colourpop,107.0,COSMETICS,0,1,0,0,0,2,4,0,2,0,9,0,0,0,0,3
138,coty,47350.0,COSMETICS,0,0,0,0,0,1,1,0,1,1,4,0,0,0,1,1
139,darieu,28145.0,COSMETICS,0,0,0,0,0,1,4,1,1,1,6,0,0,0,1,1
140,dax,319.0,COSMETICS,0,0,0,0,0,0,1,1,1,0,3,0,0,0,0,0
141,dekliderm,11717.0,COSMETICS,0,0,1,0,0,3,3,1,3,0,9,0,0,0,3,0
142,dermablend,9510.0,COSMETICS,0,1,0,0,0,4,3,1,3,0,10,0,0,0,2,0
143,dermalox,90.0,COSMETICS,0,0,0,0,0,3,3,1,1,0,8,0,0,0,1,1
144,dinair,705.0,COSMETICS,0,0,1,0,0,2,3,1,1,0,6,0,0,0,2,0
145,dior,816381.0,COSMETICS,0,0,1,0,0,1,2,1,1,0,4,0,0,0,1,1
146,dove,108946.0,COSMETICS,0,0,0,0,0,0,2,1,1,1,4,1,0,0,1,1
147,ecotools,26509.0,COSMETICS,0,0,0,1,0,1,4,0,1,0,8,1,1,0,1,2
148,elf,123698.0,COSMETICS,0,0,0,1,0,1,1,0,0,0,3,1,1,0,1,0
