,BRAND,DOLS,CATEGORY,A ending?,"Plosive ending? (p,b,t,d,k,g)","Sonorant ending? (m,n,ng,l,r)","Fricative ending? (f,v,th,s,z,sh,ch,dge)","1st letter fricative? (f,v,th,s,z,sh,ch,j)","Total # of sonorants (m,n,l,r,w,y)","Total # of vowels (a, e, i, o, u)","1st letter plosive? (p,b,t,d,k,g)","Total # of plosives  (p,b,t,d,k,g)","VowelEnding? (a, e, i, o, u,y)",# of letters,"# of fricatives (f,v,th,s,z,sh,ch,j)","1st letter vowel? (a, e, i, o, u)","1st letter sonorant? (m,n,l,r,w,y)",Front Vowels,Back Vowels
765,magnatech,1372.0,POWER_TOOLS,0,0,0,1,0,2,3,0,2,0,9,1,0,1,1,0
766,makita,481092.0,POWER_TOOLS,1,0,0,0,0,1,3,0,2,1,6,0,0,1,1,0
767,malco,26244.0,POWER_TOOLS,0,0,0,0,0,2,2,0,0,1,5,0,0,1,0,1
768,marshalltown,,POWER_TOOLS,0,0,1,0,0,6,3,0,1,0,12,1,0,1,0,1
769,martin,10022.0,POWER_TOOLS,0,0,1,0,0,3,2,0,1,0,6,0,0,1,1,0
770,matco,43537.0,POWER_TOOLS,0,0,0,0,0,1,2,0,1,1,5,0,0,1,0,1
771,mattei,,POWER_TOOLS,0,0,0,0,0,1,3,0,2,1,6,0,0,1,1,0
772,max,233517.0,POWER_TOOLS,0,0,0,0,0,1,1,0,0,0,3,0,0,1,0,0
773,maxus,16385.0,POWER_TOOLS,0,0,0,1,0,1,2,0,0,0,5,1,0,1,0,1
774,mayhew,46647.0,POWER_TOOLS,0,0,0,0,0,3,2,0,0,0,6,0,0,1,1,0
775,milwaukee,45459.0,POWER_TOOLS,0,0,0,0,0,3,5,0,1,1,9,0,0,1,2,1
776,mitek,5584.0,POWER_TOOLS,0,1,0,0,0,1,2,0,2,0,5,0,0,1,2,0
777,monster,21203.0,POWER_TOOLS,0,0,1,0,0,3,2,0,1,0,7,1,0,1,1,1
778,monti,12722.0,POWER_TOOLS,0,0,0,0,0,2,2,0,1,1,5,0,0,1,1,1
779,mound,11805.0,POWER_TOOLS,0,1,0,0,0,2,2,0,1,0,5,0,0,1,0,1
780,mountain,12722.0,POWER_TOOLS,0,0,1,0,0,3,4,0,1,0,8,0,0,1,1,1
781,mountainwasher,,POWER_TOOLS,0,0,1,0,0,5,6,0,1,0,14,1,0,1,2,1
782,multiplaz,,POWER_TOOLS,0,0,0,1,0,3,3,0,2,0,9,1,0,1,1,1
783,multiquip,47260.0,POWER_TOOLS,0,1,0,0,0,2,4,0,2,0,9,0,0,1,2,2
784,muro,3976.0,POWER_TOOLS,0,0,0,0,0,2,2,0,0,1,4,0,0,1,0,2
785,mychanic,973.0,POWER_TOOLS,0,0,0,0,0,3,2,0,0,0,8,1,0,1,1,0
786,norbar,54599.0,POWER_TOOLS,0,0,1,0,0,3,2,0,1,0,6,0,0,1,0,1
787,norton,15285.0,POWER_TOOLS,0,0,1,0,0,3,2,0,1,0,6,0,0,1,0,2
788,norwood,156.0,POWER_TOOLS,0,1,0,0,0,3,3,0,1,0,7,0,0,1,0,2
789,olfa,61137.0,POWER_TOOLS,1,0,0,0,0,1,2,0,0,1,4,1,1,0,0,1
790,otc,64045.0,POWER_TOOLS,0,0,0,0,0,0,1,0,1,0,3,0,1,0,0,1
791,pace,1988.0,POWER_TOOLS,0,0,0,0,0,0,2,1,1,1,4,0,0,0,1,0
792,paslode,10390.0,POWER_TOOLS,0,0,0,0,0,1,3,1,2,1,7,1,0,0,1,1
793,pelican,,POWER_TOOLS,0,0,1,0,0,2,3,1,1,0,7,0,0,0,2,0
794,pem,33514.0,POWER_TOOLS,0,0,1,0,0,1,1,1,1,0,3,0,0,0,1,0
795,penn,43847.0,POWER_TOOLS,0,0,1,0,0,2,1,1,1,0,4,0,0,0,1,0
796,pensimple,3102.0,POWER_TOOLS,0,0,0,0,0,3,3,1,2,1,9,1,0,0,3,0
797,pexgun,154.0,POWER_TOOLS,0,0,1,0,0,1,2,1,2,0,6,0,0,0,1,1
798,phc,15932.0,POWER_TOOLS,0,0,0,0,0,0,0,1,1,0,3,0,0,0,0,0
799,plasmacam,3407581.0,POWER_TOOLS,0,0,1,0,0,3,3,1,1,0,9,1,0,0,0,0
800,powerbuilt,890.0,POWER_TOOLS,0,1,0,0,0,3,4,1,3,0,10,0,0,0,2,2
801,powerluber,25444.0,POWER_TOOLS,0,0,1,0,0,4,4,1,2,0,10,0,0,0,2,2
802,powershot,113.0,POWER_TOOLS,0,1,0,0,0,2,3,1,2,0,9,1,0,0,1,2
803,preval,12983.0,POWER_TOOLS,0,0,1,0,0,2,2,1,1,0,6,1,0,0,1,0
804,primedge,133264.0,POWER_TOOLS,0,0,0,1,0,2,3,1,3,1,8,0,0,0,3,0
805,prorule,375.0,POWER_TOOLS,0,0,0,0,0,3,3,1,1,1,7,0,0,0,1,2
806,proto,17391.0,POWER_TOOLS,0,0,0,0,0,1,2,1,2,1,5,0,0,0,0,2
807,rapidrill,,POWER_TOOLS,0,0,1,0,0,4,3,0,2,0,9,0,0,1,2,0
808,ridgid,1174960.0,POWER_TOOLS,0,1,0,0,0,1,2,0,3,0,6,0,0,1,2,0
809,rigid,12990.0,POWER_TOOLS,0,1,0,0,0,1,2,0,2,0,5,0,0,1,2,0
810,rockwell,158603.0,POWER_TOOLS,0,0,1,0,0,4,2,0,1,0,8,0,0,1,1,1
811,roemheld,11281.0,POWER_TOOLS,0,1,0,0,0,3,3,0,1,0,8,0,0,1,2,1
812,rossi,,POWER_TOOLS,0,0,0,0,0,1,2,0,0,1,5,2,0,1,1,1
813,rotozip,7582.0,POWER_TOOLS,0,1,0,0,0,1,3,0,2,0,7,1,0,1,1,2
814,ryobi,12515.0,POWER_TOOLS,0,0,0,0,0,2,2,0,1,1,5,0,0,1,1,1
815,sata,152903.0,POWER_TOOLS,1,0,0,0,1,0,2,0,1,1,4,1,0,0,0,0
816,sawstop,162310.0,POWER_TOOLS,0,1,0,0,1,1,2,0,2,0,7,2,0,0,0,1
817,schaeffler,2171.0,POWER_TOOLS,0,0,1,0,1,2,3,0,0,0,10,4,0,0,2,0
818,schrade,47190.0,POWER_TOOLS,0,0,0,0,1,1,2,0,1,1,7,2,0,0,1,0
819,shark,25056.0,POWER_TOOLS,0,1,0,0,1,1,1,0,1,0,5,1,0,0,0,0
820,shindaiwa,47882.0,POWER_TOOLS,1,0,0,0,1,2,4,0,1,1,9,1,0,0,2,0
821,sk,30613.0,POWER_TOOLS,0,1,0,0,1,0,0,0,1,0,2,1,0,0,0,0
822,skil,40015.0,POWER_TOOLS,0,0,1,0,1,1,1,0,1,0,4,1,0,0,1,0
823,sog,935681.0,POWER_TOOLS,0,1,0,0,1,0,1,0,1,0,3,1,0,0,0,1
824,southwire,26321.0,POWER_TOOLS,0,0,0,0,1,2,4,0,1,1,9,2,0,0,2,1
825,sparky,,POWER_TOOLS,0,0,0,0,1,2,1,0,2,1,6,1,0,0,1,0
826,spx,7442.0,POWER_TOOLS,0,0,0,0,1,0,0,0,1,0,3,1,0,0,0,0
827,spyder,,POWER_TOOLS,0,0,1,0,1,2,1,0,2,0,6,1,0,0,1,0
828,stanley,114335.0,POWER_TOOLS,0,0,0,0,1,3,2,0,1,1,7,1,0,0,2,0
829,starrett,15897.0,POWER_TOOLS,0,1,0,0,1,2,2,0,3,0,8,1,0,0,1,0
830,steck,135463.0,POWER_TOOLS,0,1,0,0,1,0,1,0,2,0,5,1,0,0,1,0
831,stihl,37930658.0,POWER_TOOLS,0,0,1,0,1,1,1,0,1,0,5,1,0,0,1,0
832,studbuddy,,POWER_TOOLS,0,0,0,0,1,1,2,0,5,1,9,1,0,0,1,2
833,stuller,,POWER_TOOLS,0,0,1,0,1,3,2,0,1,0,7,1,0,0,1,1
834,sunjoe,160.0,POWER_TOOLS,0,0,0,0,1,1,3,0,0,1,6,2,0,0,1,2
835,tapebuddy,1152.0,POWER_TOOLS,0,0,0,0,0,1,3,1,5,1,9,0,0,0,2,1
836,tekton,26875.0,POWER_TOOLS,0,0,1,0,0,1,2,1,3,0,6,0,0,0,1,1
837,terrco,,POWER_TOOLS,0,0,0,0,0,2,2,1,1,1,6,0,0,0,1,1
838,trigjig,,POWER_TOOLS,0,1,0,0,0,1,2,1,3,0,7,1,0,0,2,0
839,triton,248874.0,POWER_TOOLS,0,0,1,0,0,2,2,1,2,0,6,0,0,0,1,1
840,unicam,9832.0,POWER_TOOLS,0,0,1,0,0,2,3,0,0,0,6,0,1,0,1,1
841,vallorbe,,POWER_TOOLS,0,0,0,0,1,3,3,0,1,1,8,1,0,0,1,1
842,versatility,9278.0,POWER_TOOLS,0,0,0,0,1,3,4,0,2,1,11,2,0,0,4,0
843,victorinox,26159.0,POWER_TOOLS,0,0,0,0,1,2,4,0,1,0,10,1,0,0,2,2
844,wachs,7442.0,POWER_TOOLS,0,0,0,1,0,1,1,0,0,0,5,2,0,1,0,0
845,wagner,5376.0,POWER_TOOLS,0,0,1,0,0,3,2,0,1,0,6,0,0,1,1,0
846,westcott,1389.0,POWER_TOOLS,0,1,0,0,0,1,2,0,3,0,8,1,0,1,1,1
847,wiss,29216.0,POWER_TOOLS,0,0,0,1,0,1,1,0,0,0,4,2,0,1,1,0
848,wolff,30330.0,POWER_TOOLS,0,0,0,1,0,2,1,0,0,0,5,2,0,1,0,1
849,woodcraft,10249.0,POWER_TOOLS,0,1,0,0,0,2,3,0,2,0,9,1,0,1,0,1
850,woodhaven,2494.0,POWER_TOOLS,0,0,1,0,0,2,4,0,1,0,9,1,0,1,1,1
851,worx,217377.0,POWER_TOOLS,0,0,0,0,0,2,1,0,0,0,4,0,0,1,0,1
852,yamaha,736.0,POWER_TOOLS,1,0,0,0,0,2,3,0,0,1,6,0,0,1,0,0
853,zago,,POWER_TOOLS,0,0,0,0,1,0,2,0,1,1,4,1,0,0,0,1
854,advueu,25200.0,TELEVISIONS,0,0,0,0,0,0,4,0,1,1,6,1,1,0,1,2
855,clearview,,TELEVISIONS,0,0,0,0,0,3,4,0,0,0,9,1,0,0,2,0
856,dealertv,52378.0,TELEVISIONS,0,0,0,1,0,2,3,1,2,0,8,1,0,0,2,0
857,element,4531691.0,TELEVISIONS,0,1,0,0,0,3,3,0,1,0,7,0,1,0,3,0
858,ericsson,18927.0,TELEVISIONS,0,0,1,0,0,2,3,0,0,0,8,2,1,0,2,1
859,hisense,1218631.0,TELEVISIONS,0,0,0,0,0,1,3,0,0,1,7,2,0,0,3,0
860,lg,25104620.0,TELEVISIONS,0,1,0,0,0,1,0,0,1,0,2,0,0,1,0,0
861,panasonic,65436.0,TELEVISIONS,0,0,0,0,0,2,4,1,1,0,9,1,0,0,1,1
862,philips,647038.0,TELEVISIONS,0,0,0,1,0,1,2,1,2,0,7,1,0,0,2,0
863,pioneer,6528.0,TELEVISIONS,0,0,1,0,0,2,4,1,1,0,7,0,0,0,2,1
864,planar,5626.0,TELEVISIONS,0,0,1,0,0,3,2,1,1,0,6,0,0,0,0,0
865,rca,36782.0,TELEVISIONS,1,0,0,0,0,1,1,0,0,1,3,0,0,1,0,0
866,samsung,40933658.0,TELEVISIONS,0,1,1,0,1,2,2,0,1,0,7,2,0,0,0,1
867,seiki,13072.0,TELEVISIONS,0,0,0,0,1,0,3,0,1,1,5,1,0,0,2,0
868,sharp,96645.0,TELEVISIONS,0,1,0,0,1,1,1,0,1,0,5,1,0,0,0,0
869,skyvue,46522.0,TELEVISIONS,0,0,0,0,1,1,2,0,1,1,6,2,0,0,1,1
870,sony,62837.0,TELEVISIONS,0,0,0,0,1,2,1,0,0,1,4,1,0,0,1,1
871,sunbritetv,9065.0,TELEVISIONS,0,0,0,1,1,2,3,0,3,0,10,2,0,0,2,1
872,sylvania,22500.0,TELEVISIONS,1,0,0,0,1,3,3,0,0,1,8,2,0,0,1,0
873,tcl,284342.0,TELEVISIONS,0,0,1,0,0,1,0,1,1,0,3,0,0,0,0,0
874,toshiba,,TELEVISIONS,1,0,0,0,0,0,3,1,2,1,7,1,0,0,1,1
875,viewsonic,53505.0,TELEVISIONS,0,0,0,0,1,2,4,0,0,0,9,2,0,0,2,1
876,vizio,5213496.0,TELEVISIONS,0,0,0,0,1,0,3,0,0,1,5,2,0,0,2,1
877,westinghouse,259778.0,TELEVISIONS,0,0,0,0,0,2,5,0,2,1,12,2,0,1,3,1
878,adi,2210.0,WATCHES,0,0,0,0,0,0,2,0,1,1,3,0,1,0,1,0
879,adidas,522.0,WATCHES,0,0,0,1,0,0,3,0,2,0,6,1,1,0,1,0
880,alor,90093.0,WATCHES,0,0,1,0,0,2,2,0,0,0,4,0,1,0,0,1
881,alpina,45174.0,WATCHES,1,0,0,0,0,2,3,0,1,1,6,0,1,0,1,0
882,anonimo,123200.0,WATCHES,0,0,0,0,0,3,4,0,0,1,7,0,1,0,1,2
883,arbutus,171.0,WATCHES,0,0,0,1,0,1,3,0,2,0,7,1,1,0,0,2
884,armitron,,WATCHES,0,0,1,0,0,4,3,0,1,0,8,0,1,0,1,1
885,armogan,1045.0,WATCHES,0,0,1,0,0,3,3,0,1,0,7,0,1,0,0,1
886,azad,0.0,WATCHES,0,1,0,0,0,0,2,0,1,0,4,1,1,0,0,0
887,ball,43850.0,WATCHES,0,0,1,0,0,2,1,1,1,0,4,0,0,0,0,0
888,belair,19463.0,WATCHES,0,0,1,0,0,2,3,1,1,0,6,0,0,0,2,0
889,belkin,12043.0,WATCHES,0,0,1,0,0,2,2,1,2,0,6,0,0,0,2,0
890,benrus,13071.0,WATCHES,0,0,0,1,0,2,2,1,1,0,6,1,0,0,1,1
891,bering,52703.0,WATCHES,0,1,1,0,0,2,2,1,2,0,6,0,0,0,2,0
892,bianci,,WATCHES,0,0,0,0,0,1,3,1,1,1,6,0,0,0,2,0
893,bijan,266657.0,WATCHES,0,0,1,0,0,1,2,1,1,0,5,1,0,0,1,0
894,blancpain,30661.0,WATCHES,0,0,1,0,0,3,3,1,2,0,9,0,0,0,1,0
895,boccia,152.0,WATCHES,1,0,0,0,0,0,3,1,1,1,6,0,0,0,1,1
896,bomberg,187637.0,WATCHES,0,1,0,0,0,2,2,1,3,0,7,0,0,0,1,1
897,bovet,561507.0,WATCHES,0,1,0,0,0,0,2,1,2,0,5,1,0,0,1,1
898,boyard,,WATCHES,0,1,0,0,0,2,2,1,2,0,6,0,0,0,0,1
899,brathwait,3469.0,WATCHES,0,1,0,0,0,2,3,1,3,0,9,1,0,0,1,0
900,breda,693.0,WATCHES,1,0,0,0,0,1,2,1,2,1,5,0,0,0,1,0
901,breguet,258875.0,WATCHES,0,1,0,0,0,1,3,1,3,0,7,0,0,0,2,1
902,breitling,1126378.0,WATCHES,0,1,1,0,0,3,3,1,3,0,9,0,0,0,2,0
903,bremont,,WATCHES,0,1,0,0,0,3,2,1,2,0,7,0,0,0,1,1
904,buler,192.0,WATCHES,0,0,1,0,0,2,2,1,1,0,5,0,0,0,1,1
905,bulgari,109358.0,WATCHES,0,0,0,0,0,2,3,1,2,1,7,0,0,0,1,1
906,bulova,6677832.0,WATCHES,1,0,0,0,0,1,3,1,1,1,6,1,0,0,0,2
907,buoyy,3288.0,WATCHES,0,0,0,0,0,2,2,1,1,1,5,0,0,0,1,2
908,butler,,WATCHES,0,0,1,0,0,2,2,1,2,0,6,0,0,0,1,1
909,cadence,718.0,WATCHES,0,0,0,0,0,1,3,0,1,1,7,0,0,0,2,0
910,caravelle,4501.0,WATCHES,0,0,0,0,0,3,4,0,0,1,9,1,0,0,2,0
911,cartier,891829.0,WATCHES,0,0,1,0,0,2,3,0,1,0,7,0,0,0,1,0
912,casio,143811.0,WATCHES,0,0,0,0,0,0,3,0,0,1,5,1,0,0,1,1
913,charriol,78800.0,WATCHES,0,0,1,0,1,3,3,0,0,0,8,1,0,0,1,1
914,chopard,23860.0,WATCHES,0,1,0,0,1,1,2,0,2,0,7,1,0,0,0,1
915,chronoswiss,,WATCHES,0,0,0,1,1,3,3,0,0,0,11,4,0,0,1,2
916,citizen,1690662.0,WATCHES,0,0,1,0,0,1,3,0,1,0,7,1,0,0,3,0
917,coach,6670.0,WATCHES,0,0,0,1,0,0,2,0,0,0,5,1,0,0,0,1
918,converse,522.0,WATCHES,0,0,0,0,0,2,3,0,0,1,8,2,0,0,2,1
919,cortese,578.0,WATCHES,0,0,0,0,0,1,3,0,1,1,7,1,0,0,2,1
920,corum,73526.0,WATCHES,0,0,1,0,0,2,2,0,0,0,5,0,0,0,0,2
921,cromwell,264.0,WATCHES,0,0,1,0,0,5,2,0,0,0,8,0,0,0,1,1
922,dewitt,38952.0,WATCHES,0,1,0,0,0,1,2,1,3,0,6,0,0,0,2,0
923,didofa,,WATCHES,1,0,0,0,0,0,3,1,2,1,6,1,0,0,1,1
924,diesel,621.0,WATCHES,0,0,1,0,0,1,3,1,1,0,6,1,0,0,2,0
925,dior,309588.0,WATCHES,0,0,1,0,0,1,2,1,1,0,4,0,0,0,1,1
926,eone,11995.0,WATCHES,0,0,0,0,0,1,3,0,0,1,4,0,1,0,2,1
927,erroyl,1086.0,WATCHES,0,0,1,0,0,4,2,0,0,0,6,0,1,0,1,1
928,eterna,1914.0,WATCHES,1,0,0,0,0,2,3,0,1,1,6,0,1,0,2,0
929,faberge,26166.0,WATCHES,0,0,0,0,1,1,3,0,2,1,7,1,0,0,2,0
930,fendi,13653.0,WATCHES,0,0,0,0,1,1,2,0,1,1,5,1,0,0,2,0
931,fifth,1213.0,WATCHES,0,0,0,1,1,0,1,0,1,0,5,3,0,0,1,0
932,fiyta,,WATCHES,1,0,0,0,1,1,2,0,1,1,5,1,0,0,1,0
933,fossil,5578334.0,WATCHES,0,0,1,0,1,1,2,0,0,0,6,3,0,0,1,1
934,freestyle,42291.0,WATCHES,0,0,0,0,1,3,3,0,1,1,9,2,0,0,2,0
935,gamiss,73.0,WATCHES,0,0,0,1,0,1,2,1,1,0,6,2,0,0,1,0
936,garmin,98208.0,WATCHES,0,0,1,0,0,3,2,1,1,0,6,0,0,0,1,0
937,glashutte,44112.0,WATCHES,0,0,0,0,0,1,3,1,3,1,9,1,0,0,1,1
938,graff,66055.0,WATCHES,0,0,0,1,0,1,1,1,1,0,5,2,0,0,0,0
939,graham,14915.0,WATCHES,0,0,1,0,0,2,2,1,1,0,6,0,0,0,0,0
940,greyhours,672.0,WATCHES,0,0,0,1,0,3,3,1,1,0,9,1,0,0,1,1
941,gucci,526977.0,WATCHES,0,0,0,0,0,0,2,1,1,1,5,0,0,0,1,1
942,guess,222094.0,WATCHES,0,0,0,1,0,0,2,1,1,0,5,2,0,0,1,1
943,hamilton,862907.0,WATCHES,0,0,1,0,0,3,3,0,1,0,8,0,0,0,1,1
944,havana,119.0,WATCHES,1,0,0,0,0,1,3,0,0,1,6,1,0,0,0,0
945,hermes,1353634.0,WATCHES,0,0,0,1,0,2,2,0,0,0,6,1,0,0,2,0
946,huawei,240472.0,WATCHES,0,0,0,0,0,1,4,0,0,1,6,0,0,0,1,1
947,hublot,140840.0,WATCHES,0,1,0,0,0,1,2,0,2,0,6,0,0,0,0,2
948,hypergrand,224.0,WATCHES,0,1,0,0,0,4,2,0,3,0,10,0,0,0,1,0
949,hyt,107.0,WATCHES,0,1,0,0,0,1,0,0,1,0,3,0,0,0,0,0
950,ibeat,5046.0,WATCHES,0,1,0,0,0,0,3,0,2,0,5,0,1,0,2,0
951,invicta,164182.0,WATCHES,1,0,0,0,0,1,3,0,1,1,7,1,1,0,2,0
952,jord,10036.0,WATCHES,0,1,0,0,1,1,1,0,1,0,4,1,0,0,0,1
953,kompass,,WATCHES,0,0,0,1,0,1,2,1,2,0,7,2,0,0,0,1
954,kronaby,4398.0,WATCHES,0,0,0,0,0,3,2,1,2,1,7,0,0,0,1,1
955,kyboe,71002.0,WATCHES,0,0,0,0,0,1,2,1,2,1,5,0,0,0,1,1
956,lacoste,,WATCHES,0,0,0,0,0,1,3,0,1,1,7,1,0,1,1,1
957,lapizta,1924.0,WATCHES,1,0,0,0,0,1,3,0,2,1,7,1,0,1,1,0
958,longines,6126933.0,WATCHES,0,0,0,1,0,3,3,0,1,0,8,1,0,1,2,1
959,luminox,23031.0,WATCHES,0,0,0,0,0,3,3,0,0,0,7,0,0,1,1,2
960,lunowear,,WATCHES,0,0,1,0,0,4,4,0,0,0,8,0,0,1,1,2
961,martenero,196.0,WATCHES,0,0,0,0,0,4,4,0,1,1,9,0,0,1,2,1
962,marvin,30800.0,WATCHES,0,0,1,0,0,3,2,0,0,0,6,1,0,1,1,0
963,medota,120.0,WATCHES,1,0,0,0,0,1,3,0,2,1,6,0,0,1,1,1
964,megir,268.0,WATCHES,0,0,1,0,0,2,2,0,1,0,5,0,0,1,2,0
965,meridio,22734.0,WATCHES,0,0,0,0,0,2,4,0,1,1,7,0,0,1,3,1
966,michele,2154653.0,WATCHES,0,0,0,0,0,2,3,0,0,1,7,1,0,1,3,0
967,mido,53948.0,WATCHES,0,0,0,0,0,1,2,0,1,1,4,0,0,1,1,1
968,mistura,923.0,WATCHES,1,0,0,0,0,2,3,0,1,1,7,1,0,1,1,1
969,montblanc,10121.0,WATCHES,0,0,0,0,0,4,2,0,2,0,9,0,0,1,0,1
970,movado,598902.0,WATCHES,0,0,0,0,0,1,3,0,1,1,6,1,0,1,0,2
971,mtm,11697.0,WATCHES,0,0,1,0,0,2,0,0,1,0,3,0,0,1,0,0
972,mulco,50258.0,WATCHES,0,0,0,0,0,2,2,0,0,1,5,0,0,1,0,2
973,mvmt,379908.0,WATCHES,0,1,0,0,0,2,0,0,1,0,4,1,0,1,0,0
974,nacken,6889.0,WATCHES,0,0,1,0,0,2,2,0,1,0,6,0,0,1,1,0
975,naviforce,,WATCHES,0,0,0,0,0,2,4,0,0,1,9,2,0,1,2,1
976,neita,6450.0,WATCHES,1,0,0,0,0,1,3,0,1,1,5,0,0,1,1,0
977,newgate,129.0,WATCHES,0,0,0,0,0,2,3,0,2,1,7,0,0,1,2,0
978,nike,,WATCHES,0,0,0,0,0,1,2,0,1,1,4,0,0,1,2,0
979,nite,12798.0,WATCHES,0,0,0,0,0,1,2,0,1,1,4,0,0,1,2,0
980,nixon,262127.0,WATCHES,0,0,1,0,0,2,2,0,0,0,5,0,0,1,1,1
981,nomad,9544.0,WATCHES,0,1,0,0,0,2,2,0,1,0,5,0,0,1,0,1
982,oleksynprannyk,291.0,WATCHES,0,1,0,0,0,7,3,0,3,0,14,1,1,0,1,1
983,olio,66705.0,WATCHES,0,0,0,0,0,1,3,0,0,1,4,0,1,0,1,2
984,omega,3327479.0,WATCHES,1,0,0,0,0,1,3,0,1,1,5,0,1,0,1,1
985,orient,20752.0,WATCHES,0,1,0,0,0,2,3,0,1,0,6,0,1,0,1,1
986,oris,757216.0,WATCHES,0,0,0,1,0,1,2,0,0,0,4,1,1,0,1,1
987,pagare,,WATCHES,0,0,0,0,0,1,3,1,2,1,6,0,0,0,1,0
988,panerai,51197.0,WATCHES,0,0,0,0,0,2,4,1,1,1,7,0,0,0,2,0
989,peugeot,173800.0,WATCHES,0,1,0,0,0,0,4,1,3,0,7,0,0,0,2,2
990,phillips,26383.0,WATCHES,0,0,0,1,0,2,2,1,2,0,8,1,0,0,2,0
991,piaget,68682.0,WATCHES,0,1,0,0,0,0,3,1,3,0,6,0,0,0,2,0
992,picono,1846.0,WATCHES,0,0,0,0,0,1,3,1,1,1,6,0,0,0,1,2
993,polar,308.0,WATCHES,0,0,1,0,0,2,2,1,1,0,5,0,0,0,0,1
994,pulsar,332499.0,WATCHES,0,0,1,0,0,2,2,1,1,0,6,1,0,0,0,1
995,rado,14320.0,WATCHES,0,0,0,0,0,1,2,0,1,1,4,0,0,1,0,1
996,rapport,544.0,WATCHES,0,1,0,0,0,2,2,0,3,0,7,0,0,1,0,1
997,reactor,921.0,WATCHES,0,0,1,0,0,2,3,0,1,0,7,0,0,1,1,1
998,revival,95.0,WATCHES,0,0,1,0,0,2,3,0,0,0,7,2,0,1,2,0
999,ritot,10919.0,WATCHES,0,1,0,0,0,1,2,0,2,0,5,0,0,1,1,1
1000,rockwell,50.0,WATCHES,0,0,1,0,0,4,2,0,1,0,8,0,0,1,1,1
1001,rolex,27884105.0,WATCHES,0,0,0,0,0,2,2,0,0,0,5,0,0,1,1,1
1002,rosefield,920.0,WATCHES,0,1,0,0,0,2,4,0,1,0,9,2,0,1,2,1
1003,rosemont,,WATCHES,0,1,0,0,0,3,3,0,1,0,8,1,0,1,1,2
1004,royalmarine,,WATCHES,0,0,0,0,0,6,5,0,0,1,11,0,0,1,2,1
1005,seiko,777869.0,WATCHES,0,0,0,0,1,0,3,0,1,1,5,1,0,0,1,1
1006,sevenfriday,78940.0,WATCHES,0,0,0,0,1,3,4,0,1,1,11,3,0,0,4,0
1007,shark,,WATCHES,0,1,0,0,1,1,1,0,1,0,5,1,0,0,0,0
1008,shinola,3072638.0,WATCHES,1,0,0,0,1,2,3,0,0,1,7,1,0,0,1,1
1009,sisu,25821.0,WATCHES,0,0,0,0,1,0,2,0,0,1,4,2,0,0,1,1
1010,skagen,207738.0,WATCHES,0,0,1,0,1,1,2,0,2,0,6,1,0,0,1,0
1011,slow,48605.0,WATCHES,0,0,0,0,1,2,1,0,0,0,4,1,0,0,0,1
1012,stauer,282546.0,WATCHES,0,0,1,0,1,1,3,0,1,0,6,1,0,0,1,1
1013,suunto,53742.0,WATCHES,0,0,0,0,1,1,3,0,1,1,6,1,0,0,0,3
1014,svstem,,WATCHES,0,0,1,0,1,1,1,0,1,0,6,3,0,0,1,0
1015,swarovski,25529.0,WATCHES,0,0,0,0,1,2,3,0,1,1,9,3,0,0,1,1
1016,swatch,1778417.0,WATCHES,0,0,0,1,1,1,1,0,1,0,6,2,0,0,0,0
1017,swiss,102.0,WATCHES,0,0,0,1,1,1,1,0,0,0,5,3,0,0,1,0
1018,swisstime,,WATCHES,0,0,0,0,1,2,3,0,1,1,9,3,0,0,3,0
1019,szanto,99594.0,WATCHES,0,0,0,0,1,1,2,0,1,1,6,2,0,0,0,1
1020,tayroc,173.0,WATCHES,0,0,0,0,0,2,2,1,1,0,6,0,0,0,0,1
1021,technomarine,301838.0,WATCHES,0,0,0,0,0,4,5,1,1,1,12,1,0,0,3,1
1022,teno,23721.0,WATCHES,0,0,0,0,0,1,2,1,1,1,4,0,0,0,1,1
1023,tense,200.0,WATCHES,0,0,0,0,0,1,2,1,1,1,5,1,0,0,2,0
1024,tiffany,108128.0,WATCHES,0,0,0,0,0,2,2,1,1,1,7,2,0,0,2,0
1025,timex,1124967.0,WATCHES,0,0,0,0,0,1,2,1,1,0,5,0,0,0,2,0
1026,tissot,14482811.0,WATCHES,0,1,0,0,0,0,2,1,2,0,6,2,0,0,1,1
1027,titan,643.0,WATCHES,0,0,1,0,0,1,2,1,2,0,5,0,0,0,1,0
1028,toptiertimer,,WATCHES,0,0,1,0,0,3,5,1,4,0,12,0,0,0,3,1
1029,torgoen,401.0,WATCHES,0,0,1,0,0,2,3,1,2,0,7,0,0,0,1,2
1030,triarrows,1715.0,WATCHES,0,0,0,1,0,4,3,1,1,0,9,1,0,0,1,1
1031,truwood,,WATCHES,0,1,0,0,0,2,3,1,2,0,7,0,0,0,0,2
1032,tudor,585028.0,WATCHES,0,0,1,0,0,1,2,1,2,0,5,0,0,0,0,2
1033,versace,3086.0,WATCHES,0,0,0,0,1,1,3,0,0,1,7,2,0,0,2,0
1034,victorinox,,WATCHES,0,0,0,0,1,2,4,0,1,0,10,1,0,0,2,2
1035,void,204.0,WATCHES,0,1,0,0,1,0,2,0,1,0,4,1,0,0,1,1
1036,wewood,906.0,WATCHES,0,1,0,0,0,2,3,0,1,0,6,0,0,1,1,1
